1 4 0
1 5 0
1 6 0
1 7 0
1 9 0
1 10 0
1 11 0
1 12 0
2 3 0
2 4 0
2 5 0
2 6 0
2 8 0
2 9 0
2 10 0
2 11 0
2 13 0
3 14 0
3 15 0
3 18 0
8 15 0
8 18 0
4 16 0
4 17 0
9 17 0
17 19 0
17 20 0
17 21 0
18 20 0
18 21 0
5 22 0
5 23 0
10 22 0
10 23 0
10 24 0
22 25 0
22 27 0
23 25 0
23 26 0
23 27 0
14 29 0
14 30 0
14 31 0
14 32 0
14 34 0
14 35 0
14 36 0
14 37 0
14 39 0
14 40 0
14 41 0
14 42 0
12 44 0
12 45 0
12 46 0
12 47 0
12 49 0
12 50 0
12 51 0
12 52 0
13 29 0
13 30 0
13 31 0
13 32 0
13 34 0
13 35 0
13 36 0
13 37 0
13 39 0
13 40 0
13 41 0
13 42 0
7 44 0
7 45 0
7 46 0
7 47 0
7 49 0
7 50 0
7 51 0
7 52 0
